Area,Value
City of London,11.48
Barking and Dagenham,10.30
Barnet,16.55
Bexley,13.26
Brent,16.05
Bromley,14.54
Camden,18.61
Croydon,11.88
Ealing,16.35
Enfield,14.92
Greenwich,13.35
Hackney,14.92
Hammersmith and Fulham,19.32
Haringey,17.26
Harrow,16.15
Havering,12.52
Hillingdon,13.56
Hounslow,12.13
Islington,14.73
Kensington and Chelsea,36.52
Kingston upon Thames,15.22
Lambeth,15.63
Lewisham,14.23
Merton,15.89
Newham,11.72
Redbridge,15.84
Richmond upon Thames,19.62
Southwark,13.51
Sutton,14.24
Tower Hamlets,11.00
Waltham Forest,15.57
Wandsworth,19.10
Westminster,18.88
