Date,Value,Group
2001 Jan,1848,Males
2001 Feb,1617,Males
2001 Mar,1623,Males
2001 Apr,1508,Males
2001 May,1494,Males
2001 Jun,1400,Males
2001 Jul,1404,Males
2001 Aug,1379,Males
2001 Sep,1290,Males
2001 Oct,1481,Males
2001 Nov,1491,Males
2001 Dec,1527,Males
2002 Jan,1909,Males
2002 Feb,1602,Males
2002 Mar,1431,Males
2002 Apr,1591,Males
2002 May,1464,Males
2002 Jun,1300,Males
2002 Jul,1448,Males
2002 Aug,1286,Males
2002 Sep,1334,Males
2002 Oct,1508,Males
2002 Nov,1436,Males
2002 Dec,1588,Males
2003 Jan,1711,Males
2003 Feb,1608,Males
2003 Mar,1486,Males
2003 Apr,1540,Males
2003 May,1374,Males
2003 Jun,1351,Males
2003 Jul,1358,Males
2003 Aug,1260,Males
2003 Sep,1394,Males
2003 Oct,1456,Males
2003 Nov,1462,Males
2003 Dec,1675,Males
2004 Jan,1663,Males
2004 Feb,1452,Males
2004 Mar,1545,Males
2004 Apr,1394,Males
2004 May,1215,Males
2004 Jun,1414,Males
2004 Jul,1257,Males
2004 Aug,1236,Males
2004 Sep,1340,Males
2004 Oct,1267,Males
2004 Nov,1428,Males
2004 Dec,1494,Males
2005 Jan,1598,Males
2005 Feb,1543,Males
2005 Mar,1552,Males
2005 Apr,1407,Males
2005 May,1280,Males
2005 Jun,1353,Males
2005 Jul,1157,Males
2005 Aug,1239,Males
2005 Sep,1232,Males
2005 Oct,1235,Males
2005 Nov,1362,Males
2005 Dec,1400,Males
2006 Jan,1509,Males
2006 Feb,1456,Males
2006 Mar,1537,Males
2006 Apr,1288,Males
2006 May,1326,Males
2006 Jun,1300,Males
2006 Jul,1201,Males
2006 Aug,1207,Males
2006 Sep,1166,Males
2006 Oct,1240,Males
2006 Nov,1362,Males
2006 Dec,1242,Males
2007 Jan,1508,Males
2007 Feb,1491,Males
2007 Mar,1350,Males
2007 Apr,1283,Males
2007 May,1268,Males
2007 Jun,1184,Males
2007 Jul,1208,Males
2007 Aug,1179,Males
2007 Sep,1093,Males
2007 Oct,1293,Males
2007 Nov,1329,Males
2007 Dec,1315,Males
2008 Jan,1562,Males
2008 Feb,1359,Males
2008 Mar,1253,Males
2008 Apr,1426,Males
2008 May,1165,Males
2008 Jun,1176,Males
2008 Jul,1199,Males
2008 Aug,1034,Males
2008 Sep,1207,Males
2008 Oct,1244,Males
2008 Nov,1212,Males
2008 Dec,1539,Males
2009 Jan,1605,Males
2009 Feb,1355,Males
2009 Mar,1252,Males
2009 Apr,1221,Males
2009 May,1082,Males
2009 Jun,1193,Males
2009 Jul,1112,Males
2009 Aug,990,Males
2009 Sep,1186,Males
2009 Oct,1162,Males
2009 Nov,1202,Males
2009 Dec,1324,Males
2010 Jan,1371,Males
2010 Feb,1315,Males
2010 Mar,1288,Males
2010 Apr,1212,Males
2010 May,1051,Males
2010 Jun,1191,Males
2010 Jul,1059,Males
2010 Aug,1026,Males
2010 Sep,1152,Males
2010 Oct,1097,Males
2010 Nov,1232,Males
2010 Dec,1354,Males
2011 Jan,1386,Males
2011 Feb,1237,Males
2011 Mar,1240,Males
2011 Apr,1077,Males
2011 May,1124,Males
2011 Jun,1171,Males
2011 Jul,994,Males
2011 Aug,1076,Males
2011 Sep,1120,Males
2011 Oct,1032,Males
2011 Nov,1149,Males
2011 Dec,1210,Males
2012 Jan,1281,Males
2012 Feb,1319,Males
2012 Mar,1210,Males
2012 Apr,1173,Males
2012 May,1195,Males
2012 Jun,1031,Males
2012 Jul,1067,Males
2012 Aug,1062,Males
2012 Sep,998,Males
2012 Oct,1172,Males
2012 Nov,1188,Males
2012 Dec,1147,Males
2013 Jan,1407,Males
2013 Feb,1299,Males
2013 Mar,1188,Males
2013 Apr,1370,Males
2013 May,1135,Males
2013 Jun,994,Males
2013 Jul,1070,Males
2013 Aug,948,Males
2013 Sep,1018,Males
2013 Oct,1134,Males
2013 Nov,1100,Males
2013 Dec,1141,Males
2014 Jan,1295,Males
2014 Feb,1211,Males
2014 Mar,1081,Males
2014 Apr,1133,Males
